"id","image","groups","path","dimension","active","update"
572,"samosa10.jpg",10,"/assets/images/foodish/samosa/samosa10.jpg",,1,"2022-02-02"
573,"samosa11.jpg",10,"/assets/images/foodish/samosa/samosa11.jpg",,1,"2022-02-02"
574,"samosa12.jpg",10,"/assets/images/foodish/samosa/samosa12.jpg",,1,"2022-02-02"
582,"samosa2.jpg",10,"/assets/images/foodish/samosa/samosa2.jpg",,1,"2022-02-02"
583,"samosa20.jpg",10,"/assets/images/foodish/samosa/samosa20.jpg",,1,"2022-02-02"
584,"samosa21.jpg",10,"/assets/images/foodish/samosa/samosa21.jpg",,1,"2022-02-02"
585,"samosa22.jpg",10,"/assets/images/foodish/samosa/samosa22.jpg",,1,"2022-02-02"
586,"samosa3.jpg",10,"/assets/images/foodish/samosa/samosa3.jpg",,1,"2022-02-02"
276,"dosa45.jpg",5,"/assets/images/foodish/dosa/dosa45.jpg",,1,"2022-02-02"
263,"dosa33.jpg",5,"/assets/images/foodish/dosa/dosa33.jpg",,1,"2022-02-02"
143,"burger61.jpg",2,"/assets/images/foodish/burger/burger61.jpg",,1,"2022-02-02"
144,"burger62.jpg",2,"/assets/images/foodish/burger/burger62.jpg",,1,"2022-02-02"
145,"burger63.jpg",2,"/assets/images/foodish/burger/burger63.jpg",,1,"2022-02-02"
146,"burger64.jpg",2,"/assets/images/foodish/burger/burger64.jpg",,1,"2022-02-02"
3,"biryani1.jpg",1,"/assets/images/foodish/biryani/biryani1.jpg",,1,"2022-02-02"
4,"biryani10.jpg",1,"/assets/images/foodish/biryani/biryani10.jpg",,1,"2022-02-02"
5,"biryani11.jpg",1,"/assets/images/foodish/biryani/biryani11.jpg",,1,"2022-02-02"
6,"biryani12.jpg",1,"/assets/images/foodish/biryani/biryani12.jpg",,1,"2022-02-02"
547,"rice21.jpg",9,"/assets/images/foodish/rice/rice21.jpg",,1,"2022-02-02"
548,"rice22.jpg",9,"/assets/images/foodish/rice/rice22.jpg",,1,"2022-02-02"
549,"rice23.jpg",9,"/assets/images/foodish/rice/rice23.jpg",,1,"2022-02-02"
550,"rice24.jpg",9,"/assets/images/foodish/rice/rice24.jpg",,1,"2022-02-02"
22,"biryani27.jpg",1,"/assets/images/foodish/biryani/biryani27.jpg",,1,"2022-02-02"
23,"biryani28.jpg",1,"/assets/images/foodish/biryani/biryani28.jpg",,1,"2022-02-02"
24,"biryani29.jpg",1,"/assets/images/foodish/biryani/biryani29.jpg",,1,"2022-02-02"
25,"biryani3.jpg",1,"/assets/images/foodish/biryani/biryani3.jpg",,1,"2022-02-02"
26,"biryani30.jpg",1,"/assets/images/foodish/biryani/biryani30.jpg",,1,"2022-02-02"
27,"biryani31.jpg",1,"/assets/images/foodish/biryani/biryani31.jpg",,1,"2022-02-02"
180,"butter-chicken14.jpg",3,"/assets/images/foodish/butter-chicken/butter-chicken14.jpg",,1,"2022-02-02"
181,"butter-chicken15.jpg",3,"/assets/images/foodish/butter-chicken/butter-chicken15.jpg",,1,"2022-02-02"
182,"butter-chicken16.jpg",3,"/assets/images/foodish/butter-chicken/butter-chicken16.jpg",,1,"2022-02-02"
230,"dessert5.jpg",4,"/assets/images/foodish/dessert/dessert5.jpg",,1,"2022-02-02"
111,"burger32.jpg",2,"/assets/images/foodish/burger/burger32.jpg",,1,"2022-02-02"
112,"burger33.jpg",2,"/assets/images/foodish/burger/burger33.jpg",,1,"2022-02-02"
113,"burger34.jpg",2,"/assets/images/foodish/burger/burger34.jpg",,1,"2022-02-02"
114,"burger35.jpg",2,"/assets/images/foodish/burger/burger35.jpg",,1,"2022-02-02"
115,"burger36.jpg",2,"/assets/images/foodish/burger/burger36.jpg",,1,"2022-02-02"
116,"burger37.jpg",2,"/assets/images/foodish/burger/burger37.jpg",,1,"2022-02-02"
117,"burger38.jpg",2,"/assets/images/foodish/burger/burger38.jpg",,1,"2022-02-02"
118,"burger39.jpg",2,"/assets/images/foodish/burger/burger39.jpg",,1,"2022-02-02"
119,"burger4.jpg",2,"/assets/images/foodish/burger/burger4.jpg",,1,"2022-02-02"
120,"burger40.jpg",2,"/assets/images/foodish/burger/burger40.jpg",,1,"2022-02-02"
121,"burger41.jpg",2,"/assets/images/foodish/burger/burger41.jpg",,1,"2022-02-02"
122,"burger42.jpg",2,"/assets/images/foodish/burger/burger42.jpg",,1,"2022-02-02"
123,"burger43.jpg",2,"/assets/images/foodish/burger/burger43.jpg",,1,"2022-02-02"
231,"dessert6.jpg",4,"/assets/images/foodish/dessert/dessert6.jpg",,1,"2022-02-02"
216,"dessert25.jpg",4,"/assets/images/foodish/dessert/dessert25.jpg",,1,"2022-02-02"
217,"dessert26.jpg",4,"/assets/images/foodish/dessert/dessert26.jpg",,1,"2022-02-02"
366,"idly5.jpg",6,"/assets/images/foodish/idly/idly5.jpg",,1,"2022-02-02"
367,"idly50.jpg",6,"/assets/images/foodish/idly/idly50.jpg",,1,"2022-02-02"
368,"idly51.jpg",6,"/assets/images/foodish/idly/idly51.jpg",,1,"2022-02-02"
369,"idly52.jpg",6,"/assets/images/foodish/idly/idly52.jpg",,1,"2022-02-02"
370,"idly53.jpg",6,"/assets/images/foodish/idly/idly53.jpg",,1,"2022-02-02"
395,"idly76.jpg",6,"/assets/images/foodish/idly/idly76.jpg",,1,"2022-02-02"
396,"idly77.jpg",6,"/assets/images/foodish/idly/idly77.jpg",,1,"2022-02-02"
521,"pizza86.jpg",8,"/assets/images/foodish/pizza/pizza86.jpg",,1,"2022-02-02"
522,"pizza87.jpg",8,"/assets/images/foodish/pizza/pizza87.jpg",,1,"2022-02-02"
551,"rice25.jpg",9,"/assets/images/foodish/rice/rice25.jpg",,1,"2022-02-02"
587,"samosa4.jpg",10,"/assets/images/foodish/samosa/samosa4.jpg",,1,"2022-02-02"
7,"biryani13.jpg",1,"/assets/images/foodish/biryani/biryani13.jpg",,1,"2022-02-02"
8,"biryani14.jpg",1,"/assets/images/foodish/biryani/biryani14.jpg",,1,"2022-02-02"
9,"biryani15.jpg",1,"/assets/images/foodish/biryani/biryani15.jpg",,1,"2022-02-02"
10,"biryani16.jpg",1,"/assets/images/foodish/biryani/biryani16.jpg",,1,"2022-02-02"
11,"biryani17.jpg",1,"/assets/images/foodish/biryani/biryani17.jpg",,1,"2022-02-02"
12,"biryani18.jpg",1,"/assets/images/foodish/biryani/biryani18.jpg",,1,"2022-02-02"
13,"biryani19.jpg",1,"/assets/images/foodish/biryani/biryani19.jpg",,1,"2022-02-02"
397,"idly8.jpg",6,"/assets/images/foodish/idly/idly8.jpg",,1,"2022-02-02"
398,"idly9.jpg",6,"/assets/images/foodish/idly/idly9.jpg",,1,"2022-02-02"
28,"biryani32.jpg",1,"/assets/images/foodish/biryani/biryani32.jpg",,1,"2022-02-02"
29,"biryani33.jpg",1,"/assets/images/foodish/biryani/biryani33.jpg",,1,"2022-02-02"
30,"biryani34.jpg",1,"/assets/images/foodish/biryani/biryani34.jpg",,1,"2022-02-02"
31,"biryani35.jpg",1,"/assets/images/foodish/biryani/biryani35.jpg",,1,"2022-02-02"
32,"biryani36.jpg",1,"/assets/images/foodish/biryani/biryani36.jpg",,1,"2022-02-02"
33,"biryani37.jpg",1,"/assets/images/foodish/biryani/biryani37.jpg",,1,"2022-02-02"
34,"biryani38.jpg",1,"/assets/images/foodish/biryani/biryani38.jpg",,1,"2022-02-02"
35,"biryani39.jpg",1,"/assets/images/foodish/biryani/biryani39.jpg",,1,"2022-02-02"
36,"biryani4.jpg",1,"/assets/images/foodish/biryani/biryani4.jpg",,1,"2022-02-02"
37,"biryani40.jpg",1,"/assets/images/foodish/biryani/biryani40.jpg",,1,"2022-02-02"
38,"biryani41.jpg",1,"/assets/images/foodish/biryani/biryani41.jpg",,1,"2022-02-02"
39,"biryani42.jpg",1,"/assets/images/foodish/biryani/biryani42.jpg",,1,"2022-02-02"
40,"biryani43.jpg",1,"/assets/images/foodish/biryani/biryani43.jpg",,1,"2022-02-02"
41,"biryani44.jpg",1,"/assets/images/foodish/biryani/biryani44.jpg",,1,"2022-02-02"
42,"biryani45.jpg",1,"/assets/images/foodish/biryani/biryani45.jpg",,1,"2022-02-02"
43,"biryani46.jpg",1,"/assets/images/foodish/biryani/biryani46.jpg",,1,"2022-02-02"
44,"biryani47.jpg",1,"/assets/images/foodish/biryani/biryani47.jpg",,1,"2022-02-02"
45,"biryani48.jpg",1,"/assets/images/foodish/biryani/biryani48.jpg",,1,"2022-02-02"
55,"biryani57.jpg",1,"/assets/images/foodish/biryani/biryani57.jpg",,1,"2022-02-02"
56,"biryani58.jpg",1,"/assets/images/foodish/biryani/biryani58.jpg",,1,"2022-02-02"
57,"biryani59.jpg",1,"/assets/images/foodish/biryani/biryani59.jpg",,1,"2022-02-02"
58,"biryani6.jpg",1,"/assets/images/foodish/biryani/biryani6.jpg",,1,"2022-02-02"
59,"biryani60.jpg",1,"/assets/images/foodish/biryani/biryani60.jpg",,1,"2022-02-02"
60,"biryani61.jpg",1,"/assets/images/foodish/biryani/biryani61.jpg",,1,"2022-02-02"
61,"biryani62.jpg",1,"/assets/images/foodish/biryani/biryani62.jpg",,1,"2022-02-02"
62,"biryani63.jpg",1,"/assets/images/foodish/biryani/biryani63.jpg",,1,"2022-02-02"
63,"biryani64.jpg",1,"/assets/images/foodish/biryani/biryani64.jpg",,1,"2022-02-02"
64,"biryani65.jpg",1,"/assets/images/foodish/biryani/biryani65.jpg",,1,"2022-02-02"
65,"biryani66.jpg",1,"/assets/images/foodish/biryani/biryani66.jpg",,1,"2022-02-02"
66,"biryani67.jpg",1,"/assets/images/foodish/biryani/biryani67.jpg",,1,"2022-02-02"
67,"biryani68.jpg",1,"/assets/images/foodish/biryani/biryani68.jpg",,1,"2022-02-02"
